"pitch_id","startup_name","season","episode","industry","business_description","description_words","pitcher_gender_group","women_represented","multiple_entrepreneurs","pitcher_state","ask_amount_usd","equity_offered_pct","requested_valuation_usd","deal_on_show","deal_amount_usd","deal_equity_pct","deal_valuation_usd","number_sharks_in_deal"
1,"AvaTheElephant",1,1,"Health/Wellness","Ava The Elephant - Baby and Child Care",8,"all_women",1,0,"GA",50000,15,333333,1,50000,55,90909,1
2,"MrTod'sPieFactory",1,1,"Food and Beverage","Mr. Tod's Pie Factory - Specialty Food",7,"all_men",0,0,"NJ",460000,10,4600000,1,460000,50,920000,2
3,"Wispots",1,1,"Business Services","Wispots - Consumer Services",4,"all_men",0,0,"NC",1200000,10,1.2e+07,0,,,,
4,"CollegeFoxesPackingBoxes",1,1,"Lifestyle/Home","College Foxes Packing Boxes - Consumer Services",7,"all_men",0,0,"FL",250000,25,1e+06,0,,,,
5,"IonicEar",1,1,"Technology/Software","Ionic Ear - Novelties",4,"all_men",0,0,"MN",1e+06,15,6666667,0,,,,
6,"APerfectPear",1,2,"Food and Beverage","A Perfect Pear - Specialty Food",6,"all_women",1,0,"CA",5e+05,15,3333333,1,5e+05,50,1e+06,2
7,"ClassroomJams",1,2,"Children/Education","Classroom Jams - Education",4,"all_men",0,0,"IL",250000,10,2500000,1,250000,100,250000,5
8,"Lifebelt",1,2,"Automotive","Lifebelt - Automotive",3,"all_men",0,0,"NV",5e+05,10,5e+06,0,,,,
9,"CrookedJaw",1,2,"Fashion/Beauty","Crooked Jaw - Men and Women's Apparel",7,"all_men",0,0,"CA",2e+05,20,1e+06,0,,,,
10,"StickyNoteHolder",1,2,"Lifestyle/Home","Sticky Note Holder - Productivity Tools",6,"all_women",1,0,"CA",1e+05,20,5e+05,0,,,,
11,"TurboBaster",1,3,"Food and Beverage","TurboBaster - Kitchen Tools",4,"all_women",1,0,"CA",35000,35,1e+05,1,35000,100,35000,1
12,"StressFreeKids",1,3,"Children/Education","Stress Free Kids - Baby and Child Care",8,"all_women",1,0,"GA",250000,20,1250000,1,250000,50,5e+05,1
13,"KwyztaChopstickArt",1,3,"Children/Education","Kwyzta Chopstick Art - Kitchen Tools",6,"all_men",0,0,"OR",1e+05,10,1e+06,0,,,,
14,"50StateCapitalsin50Minutes",1,3,"Children/Education","50 State Capitals in 50 Minutes - Education",8,"all_men",0,0,"TX",155000,10,1550000,0,,,,
15,"VoyageAirGuitar",1,3,"Media/Entertainment","Voyage Air Guitar - Music",5,"all_men",0,1,"CA",5e+05,5,1e+07,0,,,,
16,"GiftCardRescue",1,4,"Technology/Software","Gift Card Rescue - Online Services",6,"all_men",0,0,"MD",150000,30,5e+05,1,2e+05,50,4e+05,2
17,"Coverplay",1,4,"Children/Education","Coverplay - Baby and Child Care",6,"all_women",1,1,"CA",350000,15,2333333,1,35000,40,87500,1
18,"GraffitiRemovalServices",1,4,"Business Services","Graffiti Removal Services - Professional Services",6,"all_men",0,0,"OR",350000,15,2333333,0,,,,
19,"SoulsCalling",1,4,"Fashion/Beauty","Soul's Calling, Inc. - Women's Accessories",6,"all_women",1,0,"TX",150000,25,6e+05,0,,,,
20,"CoffeeBrandGifts",1,4,"Food and Beverage","Coffee Brand Gifts - Novelties",5,"all_men",0,0,"OH",3e+05,40,750000,0,,,,
21,"MyTherapyJournal",1,5,"Health/Wellness","My Therapy Journal - Online Services",6,"all_men",0,1,"FL",80000,20,4e+05,1,80000,51,156863,2
22,"BodyJac",1,5,"Fitness/Sports/Outdoors","Body Jac - Fitness Equipment",5,"all_men",0,0,"IA",180000,20,9e+05,1,180000,50,360000,1
23,"GoodGriefCelebrations",1,5,"Business Services","Good Grief Celebrations - Consumer Services",6,"all_women",1,0,"PA",50000,25,2e+05,0,,,,
24,"GranolaGourmet",1,5,"Food and Beverage","Granola Gourmet - Specialty Food",5,"all_men",0,0,"CA",175000,25,7e+05,0,,,,
25,"FaceBlok",1,5,"Health/Wellness","Face Blok - Novelties",4,"all_women",1,0,"CA",50000,30,166667,0,,,,
26,"PorkBarrelBBQSauce",1,6,"Food and Beverage","Pork Barrel BBQ Sauce - Specialty Food",7,"all_men",0,1,"VA",50000,10,5e+05,1,50000,50,1e+05,1
27,"ElementBars",1,6,"Fitness/Sports/Outdoors","Element Bars - Specialty Food",5,"all_men",0,0,"IL",150000,15,1e+06,1,150000,30,5e+05,1
28,"UndereaseUnderwear",1,6,"Fashion/Beauty","Underease Underwear - Undergarments and Basics",6,"mixed",1,1,"CO",55000,25,220000,0,,,,
29,"KalyxTechnologies",1,6,"Fashion/Beauty","Kalyx Technologies - Undergarments and Basics",6,"all_women",1,0,"NC",125000,20,625000,0,,,,
30,"TheFizz",1,6,"Food and Beverage","The Fizz - Non-Alcoholic Beverages",5,"all_men",0,0,"CA",150000,25,6e+05,0,,,,
31,"Soy-Yer-Dough",1,7,"Food and Beverage","Soy-Yer-Dough - Toys and Games",5,"all_men",0,0,"IN",125000,25,5e+05,1,3e+05,51,588235,3
32,"GrillCharmsSet",1,7,"Fashion/Beauty","Grill Charms Set - Kitchen Tools",6,"all_women",1,0,"SC",50000,25,2e+05,1,50000,20,250000,1
33,"BoogieBoxFitness",1,7,"Fitness/Sports/Outdoors","Boogie Box Fitness - Fitness Programs",6,"all_women",1,1,"CA",7e+05,70,1e+06,0,,,,
34,"TheFunhouseProject",1,7,"Media/Entertainment","The Fun house Project - Entertainment",6,"all_men",0,1,"NY",3e+05,20,1500000,0,,,,
35,"TreasureChestPets",1,8,"Pet Products","Treasure Chest Pets - Toys and Games",7,"all_women",1,0,"CA",150000,20,750000,1,1e+05,60,166667,2
36,"Notehall",1,8,"Technology/Software","Notehall - Online Services",4,"all_men",0,1,"CA",90000,10,9e+05,1,90000,25,360000,1
37,"Throx",1,8,"Fashion/Beauty","Throx - Undergarments and Basics",5,"all_men",0,0,"CA",50000,25,2e+05,0,,,,
