"growth_pct","marketing_10k","experience_years","team_size","digital","spend_c"
16.34,3.85,18,5,"Yes",-0.15
8.9,4.68,2,2,"No",0.68
13.41,2.59,17,1,"Yes",-1.41
11.98,0.75,9,2,"No",-3.25
3.87,0.93,0,3,"No",-3.07
11.98,5.13,17,3,"No",1.13
11.57,5.26,8,3,"No",1.26
13.9,6.42,6,4,"Yes",2.42
19.37,4.97,2,4,"Yes",0.97
8.79,6.92,3,4,"No",2.92
14.93,1.92,13,1,"Yes",-2.08
24.6,7.12,3,2,"Yes",3.12
10.17,0.72,13,4,"No",-3.28
8.11,3.53,5,5,"No",-0.47
11.86,7.92,8,3,"No",3.92
13.07,5.47,15,2,"No",1.47
9.19,0.27,14,3,"No",-3.73
18.47,6.59,2,1,"Yes",2.59
12.27,6.4,17,6,"No",2.4
15.12,2.56,8,10,"Yes",-1.44
6.82,3.85,14,3,"No",-0.15
4.75,0.3,4,9,"No",-3.7
17.2,6.66,10,8,"No",2.66
17.32,5.96,17,3,"No",1.96
11.42,3.23,6,9,"No",-0.77
9.02,4.12,8,5,"No",0.12
2.81,0.35,8,1,"Yes",-3.65
9.61,6.95,8,9,"No",2.95
22.69,7.28,14,7,"Yes",3.28
7.84,1.66,13,6,"No",-2.34
14.61,4.69,8,8,"Yes",0.69
18.19,5.36,2,3,"Yes",1.36
9.21,7.2,5,3,"Yes",3.2
8.03,1.91,7,3,"No",-2.09
6.34,0.69,3,3,"Yes",-3.31
28.21,7.22,5,4,"No",3.22
21.48,7.2,1,3,"No",3.2
9.19,4.26,4,5,"Yes",0.26
8.08,1.01,4,7,"No",-2.99
17.67,6.59,0,3,"Yes",2.59
22.82,5.52,11,4,"Yes",1.52
14.02,3.84,13,2,"No",-0.16
14.1,4.56,0,10,"No",0.56
12.32,4.08,12,4,"Yes",0.0800000000000001
14.37,3.74,8,3,"Yes",-0.26
2.55,0.32,7,2,"No",-3.68
7.13,1.18,8,1,"Yes",-2.82
7.92,0.49,12,5,"Yes",-3.51
20.19,7.7,12,1,"Yes",3.7
9.07,3.36,1,8,"Yes",-0.64
8.87,4.17,1,5,"No",0.17
16.12,5.17,0,5,"No",1.17
13.17,6.5,17,4,"No",2.5
5.26,0.8,4,5,"No",-3.2
25.52,5.83,18,9,"Yes",1.83
7.34,7.25,7,1,"Yes",3.25
11.01,2.01,4,6,"Yes",-1.99
8.22,4.94,4,7,"No",0.94
16.49,5.7,11,3,"No",1.7
10.31,2.51,4,1,"Yes",-1.49
5.86,0.49,2,1,"Yes",-3.51
12.33,5.71,1,5,"No",1.71
13.99,4.11,8,2,"No",0.11
16.29,1.76,4,2,"No",-2.24
11.59,4.43,3,7,"No",0.43
17.82,2.67,13,3,"No",-1.33
18.76,7.67,4,3,"No",3.67
23.1,4.56,16,6,"Yes",0.56
18.38,3.96,12,4,"Yes",-0.04
8.95,5.59,13,3,"No",1.59
12.9,4.87,3,1,"No",0.87
9.17,1.16,13,9,"No",-2.84
4.85,2.46,5,7,"No",-1.54
3.59,1.75,4,6,"No",-2.25
10.54,1.23,3,3,"Yes",-2.77
14.24,2.83,13,8,"No",-1.17
20.98,6.26,16,5,"Yes",2.26
14.64,6.67,12,1,"Yes",2.67
9.51,0.94,5,7,"No",-3.06
10.69,0.26,17,4,"Yes",-3.74
10.63,1.92,13,9,"Yes",-2.08
16.95,2.23,15,3,"Yes",-1.77
19.49,3.66,8,3,"Yes",-0.34
7.77,2.94,3,3,"No",-1.06
6.46,1.7,5,2,"No",-2.3
5.86,1.87,2,8,"No",-2.13
9.27,1.37,17,1,"No",-2.63
13.96,7.93,10,2,"No",3.93
4.59,0.96,3,3,"Yes",-3.04
9.92,0.84,13,3,"Yes",-3.16
14.78,3.9,0,1,"No",-0.1
14.29,4.8,16,1,"No",0.8
9.76,2.69,2,6,"Yes",-1.31
9.94,1.61,11,4,"Yes",-2.39
17.44,5.62,9,2,"Yes",1.62
6.79,0.26,13,4,"No",-3.74
9.08,1.56,2,1,"No",-2.44
7.98,0.36,10,5,"Yes",-3.64
7.25,4.67,18,4,"No",0.67
16.03,1.75,18,5,"No",-2.25
21.43,6.06,6,6,"Yes",2.06
17.39,5.15,1,3,"Yes",1.15
16.22,7.57,1,3,"Yes",3.57
12.85,7.29,9,3,"No",3.29
4.31,3.95,0,2,"No",-0.0499999999999998
7.35,0.6,7,1,"No",-3.4
9.05,1.97,17,3,"No",-2.03
10,6.09,9,6,"No",2.09
20.06,7.1,9,5,"Yes",3.1
10.04,1.53,10,3,"Yes",-2.47
12,3.3,10,2,"No",-0.7
6.11,0.55,16,2,"No",-3.45
7.11,3.07,17,1,"No",-0.93
9.81,0.98,16,7,"No",-3.02
20.4,6.13,3,2,"Yes",2.13
16.8,3.99,17,3,"No",-0.00999999999999979
10.73,0.57,13,5,"Yes",-3.43
11.35,4.95,1,5,"No",0.95
4.11,0.7,3,5,"Yes",-3.3
20.77,7.7,2,5,"No",3.7
18.32,4.98,15,5,"Yes",0.98
-4.31,0.72,2,4,"Yes",-3.28
12.69,6.5,3,7,"Yes",2.5
27.05,7.31,4,1,"Yes",3.31
6.63,2.17,4,3,"No",-1.83
14.88,6.68,16,6,"No",2.68
11.74,2.21,14,5,"Yes",-1.79
14.72,5.92,18,1,"No",1.92
15.53,6.04,3,3,"Yes",2.04
22.24,7.79,17,3,"Yes",3.79
10.91,4.7,9,2,"No",0.7
20.25,5.11,12,3,"Yes",1.11
21.96,7.91,16,3,"No",3.91
13.81,5.33,13,3,"No",1.33
6.28,0.27,14,6,"No",-3.73
15.33,5.83,1,4,"Yes",1.83
16.2,5.82,15,10,"Yes",1.82
19.97,4.58,16,3,"Yes",0.58
12.08,4.6,17,3,"No",0.6
12.92,2.16,10,8,"No",-1.84
7.66,1,12,4,"Yes",-3
13.4,7.74,8,8,"Yes",3.74
25.49,4.61,13,3,"Yes",0.61
13.42,3.45,12,4,"Yes",-0.55
14.59,2.31,14,6,"No",-1.69
13.83,4.7,1,7,"Yes",0.7
8.13,1.5,4,3,"No",-2.5
17.29,6.33,10,2,"No",2.33
18.87,4.76,0,4,"Yes",0.76
18.91,7.8,4,5,"Yes",3.8
11.18,5.66,3,1,"No",1.66
12.28,5.46,11,1,"Yes",1.46
8.1,7.41,8,3,"No",3.41
14.92,0.69,8,5,"No",-3.31
15.42,7.25,0,6,"No",3.25
11.54,0.92,15,5,"No",-3.08
17.26,6.32,5,3,"Yes",2.32
10.01,1.6,4,4,"No",-2.4
12.2,0.63,17,3,"No",-3.37
5,6.17,3,1,"No",2.17
19.19,6.26,3,8,"Yes",2.26
10.9,2.91,3,3,"Yes",-1.09
17.09,6.27,15,5,"No",2.27
17.71,4.31,9,2,"Yes",0.31
13.57,6,17,2,"No",2
9.78,4.12,9,3,"Yes",0.12
7.9,1.59,1,1,"Yes",-2.41
14.23,5.81,11,2,"Yes",1.81
13.73,4.17,5,3,"No",0.17
13.85,3.7,11,4,"No",-0.3
5.81,1.54,5,4,"Yes",-2.46
6.1,4.06,14,1,"No",0.0599999999999996
9.77,1.39,17,6,"No",-2.61
6.53,3.46,4,5,"Yes",-0.54
5.01,0.37,5,3,"Yes",-3.63
10.38,1.14,8,5,"Yes",-2.86
16.64,7.27,14,1,"Yes",3.27
11.55,3.75,10,7,"No",-0.25
4.45,4.78,14,6,"No",0.78
12.15,6.93,6,5,"No",2.93
14.1,3.77,5,2,"Yes",-0.23
13.76,7.89,17,3,"Yes",3.89
9.43,6.57,2,5,"No",2.57
15.95,7.81,16,3,"Yes",3.81
5.84,1.81,10,2,"Yes",-2.19
11.91,2.89,9,4,"No",-1.11
10.52,5.43,9,9,"No",1.43
13.49,1.48,17,6,"No",-2.52
5.23,1.05,4,1,"Yes",-2.95
14.83,3.72,6,4,"Yes",-0.28
31.94,7.28,14,4,"Yes",3.28
7.04,5.5,3,2,"Yes",1.5
6.03,7.02,2,2,"No",3.02
13.9,4.8,16,1,"Yes",0.8
12.78,3.14,11,6,"No",-0.86
13.03,6.64,2,3,"No",2.64
11.54,4.7,18,4,"Yes",0.7
14.12,5.78,5,1,"Yes",1.78
8.97,3.47,12,2,"No",-0.53
12.4,2.75,4,5,"Yes",-1.25
17.52,6.27,16,2,"No",2.27
8.43,2.03,0,4,"No",-1.97
3.92,0.45,0,6,"No",-3.55
22.07,4.96,6,6,"Yes",0.96
13.47,7.65,18,4,"No",3.65
4.76,0.25,4,3,"Yes",-3.75
4.15,1.46,18,2,"No",-2.54
15.03,3.01,7,1,"No",-0.99
4.44,1.05,1,3,"No",-2.95
5.49,6.36,1,2,"No",2.36
2.08,1.68,0,5,"No",-2.32
11.68,5.25,0,8,"Yes",1.25
7.35,4.21,12,3,"No",0.21
17.31,4.32,9,3,"Yes",0.32
9.23,1.96,11,2,"No",-2.04
15.27,3.94,18,2,"No",-0.06
19.48,7.06,6,6,"Yes",3.06
1.53,1.13,2,5,"No",-2.87
14.98,3.44,11,7,"Yes",-0.56
16.95,4.03,14,3,"Yes",0.0300000000000002
20.15,3.01,12,7,"No",-0.99
16.97,7.27,2,5,"Yes",3.27
14.49,1.99,12,3,"Yes",-2.01
3.94,1.75,0,9,"No",-2.25
14.14,6.4,1,2,"Yes",2.4
14.42,7.43,14,3,"Yes",3.43
9.89,3.38,10,3,"Yes",-0.62
7.99,2.19,8,5,"No",-1.81
2.61,2.87,5,4,"No",-1.13
13.31,4.1,13,6,"Yes",0.0999999999999996
7.84,0.97,12,1,"No",-3.03
5.34,1.2,16,6,"No",-2.8
3.42,0.99,10,3,"Yes",-3.01
12.78,6.7,7,3,"Yes",2.7
11.15,2.35,13,2,"No",-1.65
7.9,1.73,16,8,"Yes",-2.27
17.15,6.91,13,1,"Yes",2.91
1.73,3.36,12,6,"No",-0.64
12.5,5.13,12,1,"No",1.13
7.03,0.43,3,4,"No",-3.57
10.02,6.86,13,6,"No",2.86
21.1,5.14,15,4,"Yes",1.14
17.04,3.6,14,3,"Yes",-0.4
8.24,1.08,0,9,"Yes",-2.92
9.02,2.16,0,1,"Yes",-1.84
15.09,7.43,17,2,"No",3.43
12.43,4.47,12,2,"Yes",0.47
10.85,2.8,15,5,"No",-1.2
14.55,4.76,6,4,"No",0.76
16.62,5.54,11,7,"No",1.54
10.98,7.99,14,2,"No",3.99
13.8,6.71,12,5,"No",2.71
8.1,0.98,1,3,"Yes",-3.02
9.18,6.18,3,7,"No",2.18
8.54,2.97,8,3,"Yes",-1.03
8.77,3.67,9,3,"Yes",-0.33
21.02,4.03,18,3,"Yes",0.0300000000000002
11.62,2.06,13,2,"No",-1.94
2.54,3.58,9,10,"No",-0.42
9.54,2.27,11,5,"No",-1.73
5.1,0.76,4,4,"Yes",-3.24
8.61,5.78,4,3,"No",1.78
13.34,6.99,0,1,"Yes",2.99
5.94,1.33,12,5,"No",-2.67
14.22,7.51,4,8,"No",3.51
13.34,4.1,5,1,"Yes",0.0999999999999996
10.73,1.6,17,6,"No",-2.4
21.78,3.89,15,4,"No",-0.11
6.37,3,0,2,"No",-1
9.11,4.59,2,9,"No",0.59
17.22,4.19,14,5,"Yes",0.19
10.19,5.54,1,2,"No",1.54
12.7,7.66,13,4,"No",3.66
12.77,1.68,7,3,"Yes",-2.32
16.58,5.6,6,5,"No",1.6
7.18,3.87,5,3,"No",-0.13
17.43,3.36,11,7,"Yes",-0.64
5.5,4.47,4,1,"No",0.47
12.68,5.53,5,3,"No",1.53
14.19,5.36,9,5,"Yes",1.36
5.3,0.95,14,2,"No",-3.05
4.75,0.63,4,4,"No",-3.37
3.44,0.39,13,2,"No",-3.61
2.63,3.81,10,2,"Yes",-0.19
21.61,7.64,14,7,"Yes",3.64
10.15,5.09,16,3,"No",1.09
21.07,5.93,12,4,"Yes",1.93
19.96,7.84,5,6,"No",3.84
8.2,2.18,1,2,"No",-1.82
25.4,6.34,16,5,"Yes",2.34
6.33,0.26,17,4,"No",-3.74
10.08,5.66,10,6,"No",1.66
9.59,2.62,1,7,"Yes",-1.38
14.01,5.07,13,2,"No",1.07
6.13,7.7,6,4,"No",3.7
12.61,4.84,3,5,"No",0.84
8.65,1.15,6,3,"Yes",-2.85
12.81,6.15,6,6,"Yes",2.15
4.46,4.4,1,8,"No",0.4
14.46,4.96,17,2,"Yes",0.96
8.78,2.65,3,1,"Yes",-1.35
12.07,1.62,13,2,"Yes",-2.38
10.36,2.14,4,3,"No",-1.86
12.59,6.81,8,6,"No",2.81
10.78,1.51,14,7,"Yes",-2.49
27.72,5.51,18,9,"No",1.51
5.9,2,5,7,"No",-2
25.98,7.84,11,2,"Yes",3.84
11.91,5.89,4,4,"No",1.89
12.5,4.66,0,9,"No",0.66
11.11,4.44,0,5,"No",0.44
15.42,7.51,10,3,"Yes",3.51
10.67,2.37,12,8,"No",-1.63
2.57,0.93,8,4,"No",-3.07
17.85,3.65,12,2,"Yes",-0.35
14.9,7.54,6,4,"No",3.54
3.33,6.53,1,5,"No",2.53
15.8,4.88,15,2,"Yes",0.88
13.29,6.28,9,7,"Yes",2.28
24.49,6.13,8,5,"Yes",2.13
