"pitch_id","deal_on_show","season","episode","description_words"
1,1,8,26,58
2,0,8,26,31
3,0,8,26,71
4,1,8,26,37
5,1,8,24,43
6,1,8,24,34
7,1,8,24,40
8,1,8,24,35
9,0,8,23,14
10,1,8,23,52
11,1,8,23,33
12,0,8,23,43
13,1,8,22,38
14,0,8,22,35
15,1,8,22,63
16,1,8,22,37
17,1,8,20,38
18,1,8,20,41
19,1,8,20,25
20,0,8,20,42
21,1,8,19,84
22,0,8,19,41
23,1,8,19,31
24,1,8,19,48
25,1,8,18,42
26,0,8,18,35
27,1,8,18,59
28,1,8,18,39
29,0,8,17,37
30,0,8,17,56
31,0,8,17,30
32,1,8,17,60
33,1,8,16,29
34,1,8,16,20
35,0,8,16,25
36,1,8,16,49
37,1,8,15,39
38,0,8,15,42
39,1,8,15,46
40,0,8,15,42
41,1,8,14,36
42,0,8,14,34
43,1,8,14,42
44,1,8,14,48
45,0,8,13,30
46,1,8,13,36
47,0,8,13,23
48,0,8,13,42
49,1,8,12,20
50,1,8,12,50
51,0,8,12,37
52,1,8,12,53
53,1,8,11,34
54,0,8,11,37
55,0,8,11,28
56,1,8,11,24
57,0,8,10,6
58,0,8,10,29
59,1,8,10,41
60,1,8,10,37
61,1,8,9,7
62,1,8,9,36
63,1,8,9,46
64,1,8,9,58
65,0,8,8,49
66,1,8,8,35
67,0,8,8,37
68,1,8,8,48
69,1,8,7,30
70,1,8,7,51
71,0,8,7,35
72,0,8,7,39
73,0,8,6,59
74,1,8,6,47
75,0,8,6,36
76,1,8,6,62
77,0,8,5,41
78,1,8,5,37
79,1,8,5,44
80,0,8,5,46
81,1,8,4,45
82,1,8,4,35
83,1,8,4,67
84,0,8,4,54
85,1,8,3,9
86,0,8,3,46
87,1,8,3,12
88,1,8,3,45
89,1,8,2,51
90,0,8,2,50
91,1,8,2,50
92,1,8,2,38
93,1,8,1,49
94,0,8,1,30
95,1,8,1,64
96,0,8,1,35
97,1,7,29,27
98,1,7,29,16
99,1,7,29,30
100,0,7,29,33
101,1,7,28,42
102,0,7,28,43
103,1,7,28,26
104,1,7,28,38
105,0,7,27,30
106,1,7,27,55
107,1,7,27,20
108,0,7,27,47
109,1,7,26,40
110,0,7,26,25
111,1,7,26,22
112,0,7,26,26
113,1,7,25,43
114,0,7,25,38
115,1,7,25,36
116,1,7,25,30
117,0,7,24,20
118,1,7,24,46
119,0,7,24,24
120,0,7,24,33
121,0,7,23,31
122,0,7,23,31
123,0,7,23,21
124,1,7,23,31
125,0,7,22,34
126,1,7,22,28
127,0,7,22,14
128,1,7,22,24
129,1,7,21,23
130,0,7,21,35
131,0,7,21,26
132,0,7,21,29
133,1,7,20,31
134,1,7,20,30
135,0,7,20,29
136,0,7,20,26
137,1,7,19,40
138,1,7,19,38
139,0,7,19,27
140,1,7,19,29
141,0,7,18,20
142,1,7,18,36
143,1,7,18,34
144,1,7,18,29
145,0,7,17,32
146,1,7,17,48
147,1,7,17,33
148,0,7,17,34
149,1,7,16,46
150,0,7,16,31
151,0,7,16,29
152,1,7,16,21
153,1,7,15,30
154,1,7,15,44
155,1,7,15,36
156,1,7,15,45
157,1,7,14,46
158,0,7,14,31
159,1,7,14,27
160,1,7,14,23
161,1,7,13,32
162,1,7,13,27
163,1,7,13,32
164,0,7,13,42
165,0,7,12,35
166,1,7,12,36
167,1,7,12,30
168,1,7,12,20
169,0,7,11,32
170,1,7,11,29
171,1,7,11,42
172,1,7,11,35
173,0,7,10,26
174,1,7,10,31
175,0,7,10,51
176,1,7,10,34
177,0,7,9,42
178,1,7,9,33
179,1,7,9,31
180,1,7,9,33
181,0,7,8,40
182,1,7,8,49
183,1,7,8,46
184,0,7,8,45
185,1,7,7,45
186,1,7,7,56
187,1,7,7,54
188,0,7,7,29
189,1,7,6,28
190,0,7,6,37
191,0,7,6,40
192,1,7,6,32
193,0,7,5,35
194,0,7,5,39
195,1,7,5,42
196,1,7,5,60
197,0,7,4,40
198,1,7,4,63
199,1,7,4,31
200,1,7,4,42
201,1,7,3,36
202,0,7,3,33
203,1,7,3,36
204,0,7,3,24
205,1,7,2,6
206,0,7,2,40
207,1,7,2,46
208,0,7,2,53
209,0,7,1,35
210,0,7,1,47
211,1,7,1,56
212,1,7,1,36
213,0,6,29,39
214,0,6,29,11
215,0,6,29,4
216,1,6,29,66
217,1,6,28,4
218,0,6,28,9
219,0,6,28,72
220,0,6,28,107
221,0,6,27,59
222,1,6,27,7
223,1,6,27,50
224,1,6,27,45
225,0,6,26,52
226,0,6,26,61
227,1,6,26,68
228,1,6,26,76
229,0,6,25,72
230,1,6,25,72
231,1,6,25,4
232,1,6,25,46
233,0,6,24,67
234,1,6,24,46
235,0,6,24,52
236,1,6,24,54
237,0,6,23,73
238,1,6,23,52
239,1,6,23,71
240,1,6,23,64
241,1,6,22,8
242,1,6,22,62
243,0,6,22,82
244,0,6,22,57
245,1,6,21,16
246,1,6,21,123
247,1,6,21,104
248,0,6,21,159
249,1,6,20,95
250,1,6,20,129
251,0,6,20,43
252,0,6,20,59
253,0,6,19,6
254,1,6,19,115
255,0,6,19,28
256,1,6,19,71
257,0,6,18,25
258,1,6,18,30
259,1,6,18,26
260,1,6,18,116
261,1,6,17,13
262,1,6,17,6
263,1,6,17,8
264,0,6,17,8
265,0,6,16,15
266,0,6,16,103
267,1,6,16,81
268,1,6,16,81
269,1,6,15,7
270,1,6,15,91
271,0,6,15,60
272,0,6,15,29
273,0,6,14,90
274,1,6,14,90
275,1,6,14,71
276,1,6,14,67
277,1,6,13,63
278,1,6,13,52
279,0,6,13,51
280,1,6,13,75
281,1,6,12,13
282,1,6,12,76
283,1,6,12,64
284,0,6,12,23
285,1,6,11,80
286,0,6,11,100
287,1,6,11,59
288,0,6,11,85
289,1,6,10,61
290,1,6,10,65
291,1,6,10,71
292,0,6,10,46
293,0,6,9,52
294,1,6,9,17
295,0,6,9,67
296,1,6,9,47
297,1,6,8,53
298,0,6,8,64
299,0,6,8,39
300,1,6,8,62
301,1,6,7,11
302,1,6,7,83
303,1,6,7,87
304,0,6,7,86
305,0,6,6,7
306,1,6,6,61
307,1,6,6,59
